ID_особи,Пол,Порода,Дата_Рождения,Родитель_папа,Родитель_мама,Удой л/день,Упитанность,Коэффициент инбридинга (F),Прирост веса кг/день,Здоровье (1-10),Фертильность (%),Генетическая ценность (баллы)
0024,Самец,Голштинская,2021-10-13,3972,8950,,4,"0,11",,7,77,79
0025,Самка,Герефорд,2019-04-15,5889,2409,"21,67047659",5,"0,18",,10,86,95
0026,Самка,Швицкая,2018-11-22,5279,1861,,3,"0,15",,5,90,85
0027,Самец,Голштинская,2022-05-25,5988,7276,,4,"0,02","1,38",6,,84
0028,Самка,Швицкая,2022-02-10,0010,9919,"24,17374718",4,"0,09",,9,92,71
0029,Самка,Швицкая,2020-04-28,8960,2238,,4,"0,02",,6,77,71
0030,Самка,Симентальская,2020-04-01,2435,7972,,5,"0,07",,8,75,95
0031,Самец,Симентальская,2023-05-08,1581,3116,"20,73608472",4,"0,16","0,82",10,,85
0032,Самка,Голштинская,2018-02-04,7085,0152,"24,89902989",4,"0,1","1,36",8,92,84
0033,Самец,Герефорд,2022-06-22,1396,6517,"33,6644346",4,"0,16","0,87",8,85,91
0034,Самец,Герефорд,2023-09-20,7854,2770,,4,"0,13",,7,83,79
0035,Самка,Симентальская,2019-10-15,5112,7647,,4,"0,18",,10,80,76
0036,Самец,Швицкая,2019-08-06,3446,8587,"30,13843913",4,"0,05","0,96",6,95,84
0037,Самка,Симентальская,2021-09-24,6020,8710,"38,02996775",3,"0,13","1,33",10,,82
0038,Самец,Айрширская,2021-09-17,6438,2994,,4,"0,08",,10,75,81
0039,Самец,Герефорд,2023-06-09,3075,6845,,4,"0,01","0,99",5,75,84
0040,Самец,Голштинская,2019-08-04,7413,3145,,3,"0,09",,9,,82
0041,Самка,Швицкая,2019-04-03,4429,7739,"36,38619119",4,"0,09","1,34",6,,92
0042,Самка,Айрширская,2021-07-03,6617,6271,,3,"0,05",,8,,70
0043,Самка,Симентальская,2022-06-04,0583,4907,"38,42015113",3,"0,08",,8,,85
0044,Самка,Симентальская,2023-09-07,5444,7724,"36,38249579",3,"0,02",,5,79,84
0045,Самец,Герефорд,2021-08-22,6279,1040,"31,89608935",4,"0,17","1,08",9,75,90
0046,Самка,Голштинская,2020-12-04,4528,2177,"35,37815805",4,"0,18",,6,75,76
0047,Самка,Симентальская,2020-11-05,6104,8049,"38,15700538",4,"0,08",,8,90,72
0048,Самка,Айрширская,2021-02-22,4536,4363,,4,"0,08","1,42",8,79,79
0049,Самка,Айрширская,2019-01-24,6517,8071,"21,72657066",4,"0,18",,9,81,81
0050,Самка,Голштинская,2019-01-17,4212,3661,,4,"0,12","1,04",10,86,90
0051,Самец,Герефорд,2021-01-25,5306,8046,"36,74154303",5,"0,16","0,91",7,,76
0052,Самка,Голштинская,2018-03-01,3621,5486,"27,60230426",4,"0,1","0,99",10,88,70
0053,Самка,Голштинская,2023-05-03,7661,8580,,3,"0,1",,7,,90
0054,Самка,Герефорд,2023-08-22,3018,2364,,5,"0,09","1,09",7,,94
0055,Самка,Герефорд,2020-09-10,6879,2296,"28,08336986",4,"0,03",,7,76,85
0056,Самец,Симентальская,2020-10-18,6479,4400,,4,"0,06","1,33",10,83,86
0057,Самка,Голштинская,2022-06-27,5923,7878,"31,00009339",4,"0,12","1,21",7,80,94
0058,Самка,Симентальская,2023-01-05,1361,2706,"38,92190768",4,"0,05","0,94",9,,73
0059,Самец,Симентальская,2022-02-07,5250,1682,,2,"0,13","1,19",5,,85
0060,Самец,Герефорд,2020-11-16,8386,0854,,4,"0,17",,9,,92
0061,Самка,Голштинская,2022-11-19,3408,8630,"36,49625975",4,"0,16","0,9",10,95,76
0062,Самец,Герефорд,2020-03-27,8270,7157,,4,"0,11","0,98",9,,71
0063,Самец,Голштинская,2022-08-15,1157,7154,"38,76655414",4,"0,13",,5,,82
0064,Самец,Голштинская,2021-10-02,6162,6089,,3,"0,07",,5,,94
0065,Самка,Швицкая,2023-10-26,6382,5861,,4,"0,11","1,21",7,,75
0066,Самка,Голштинская,2023-07-24,8221,4368,"23,9771062",2,"0,07","1,22",9,,70
0067,Самка,Швицкая,2022-12-09,6916,8054,,4,"0,07","1,44",10,,70
0068,Самка,Швицкая,2022-05-25,0322,9477,,4,"0,15",,5,,70
0069,Самец,Симентальская,2023-10-19,8918,4850,"30,47174035",4,"0,13","1,32",9,93,72
0070,Самец,Герефорд,2018-03-17,5439,3617,,3,"0,18","1,38",10,,79
0071,Самец,Симентальская,2021-05-25,4634,8163,,3,"0,05","0,94",5,,78
0072,Самец,Швицкая,2023-04-10,3230,6761,"27,06083764",3,"0,13","1,46",10,80,91
0073,Самка,Герефорд,2018-08-12,3266,6325,,5,"0,08","1,41",7,87,70
0074,Самец,Голштинская,2019-12-26,7586,5592,,3,"0,19","1,48",7,89,80
0075,Самка,Герефорд,2019-12-07,3930,3478,"23,89643416",4,"0,04","1,34",6,,72
0076,Самец,Швицкая,2023-10-03,3195,7154,"36,76791279",4,"0,15","1,44",6,80,82
0077,Самка,Симентальская,2022-09-17,0028,2354,,3,"0,15","1,34",5,92,73
0078,Самец,Швицкая,2022-06-27,7812,5688,"38,66185277",3,"0,12","1,49",5,86,71
0079,Самка,Айрширская,2019-08-08,9662,3273,,4,"0,14",,5,91,93
0080,Самка,Айрширская,2019-10-19,6815,7977,"22,9779698",4,"0,18",,10,,95
0081,Самец,Голштинская,2022-01-27,4793,4197,,4,"0,01",,10,,85
0082,Самка,Голштинская,2019-06-08,1958,5936,,3,"0,03","1,46",5,90,71
0083,Самец,Голштинская,2020-02-10,9324,2206,"22,12777522",4,"0,04","1,19",10,,83
0084,Самка,Герефорд,2020-01-18,8442,3538,,4,"0,17",,9,95,92
0085,Самка,Айрширская,2019-01-09,1372,0884,,3,"0,13",,7,,75
0086,Самка,Голштинская,2021-12-11,3452,5404,"37,20288961",4,"0,09","1,38",9,,80
0087,Самка,Герефорд,2019-08-04,0491,7811,,4,"0,03","1,31",9,,78
0088,Самец,Швицкая,2022-06-01,7046,2878,,4,"0,08","1,42",8,,92
0089,Самец,Герефорд,2021-06-27,6239,7241,"39,28797894",4,"0,04","0,94",10,80,85
0090,Самка,Айрширская,2022-07-15,2163,1398,"25,5238665",3,"0,05",,5,88,93
0091,Самка,Швицкая,2021-08-19,1658,3249,,4,"0,18",,9,,95
0092,Самец,Симентальская,2023-06-16,9562,2661,"33,58203061",4,"0,05","1,41",5,81,87
0093,Самка,Айрширская,2020-01-22,7948,7805,,3,"0,16",1,5,88,75
0094,Самец,Швицкая,2021-02-07,9111,8395,,3,"0,03","0,91",9,,77
0095,Самка,Голштинская,2023-01-23,6610,5609,"35,53788476",5,"0,06","0,86",9,81,83
0096,Самка,Симентальская,2023-09-28,6869,0982,,4,"0,09","0,96",9,84,88
0097,Самка,Симентальская,2021-05-04,5115,0351,"34,40443018",4,"0,11","0,8",9,,74
0098,Самец,Голштинская,2020-09-24,3165,1488,,3,"0,06",1,9,77,94
0099,Самка,Голштинская,2018-06-17,6017,2577,"23,85963408",4,"0,02","1,12",7,75,88
0100,Самка,Айрширская,2020-12-18,6585,9781,"21,55723093",4,"0,04",,5,88,74
0101,Самка,Швицкая,2021-09-08,8531,0795,"23,01167327",4,"0,09",,8,78,75
0102,Самка,Герефорд,2023-07-23,5726,4618,"23,57109659",4,"0,19",,7,,89
0103,Самка,Симентальская,2021-03-25,8707,2575,"25,00824794",4,"0,09","1,19",6,,73
0104,Самка,Симентальская,2021-11-13,6486,7008,"34,17107244",3,"0,14","0,81",8,85,92
0105,Самец,Симентальская,2018-08-12,6040,4205,"25,10669356",5,"0,01","1,21",5,75,70
0106,Самец,Швицкая,2020-08-08,7166,1331,,4,"0,04","1,14",6,,92
0107,Самка,Голштинская,2023-04-28,2098,3194,"32,18582587",4,"0,14",,7,,91
0108,Самец,Айрширская,2021-05-23,0727,1765,,4,"0,2","0,9",9,,94
0109,Самка,Голштинская,2018-09-28,6791,5901,,4,"0,02","1,08",6,,70
0110,Самец,Симентальская,2019-07-07,3939,7529,"34,05972184",4,"0,08",1,10,,72
0111,Самка,Симентальская,2021-12-21,6913,8297,"36,97124742",4,"0,15",,5,85,74
0112,Самка,Швицкая,2018-09-07,1956,4808,,4,"0,1","0,93",10,,92
0113,Самец,Симентальская,2019-09-15,5099,9552,"22,93110601",3,"0,14","1,35",9,87,93
0114,Самка,Айрширская,2021-12-25,4052,1981,"31,9268123",3,"0,18",,5,,87
0115,Самка,Швицкая,2022-10-04,2297,6814,"28,65202428",5,"0,18",,9,84,94
0116,Самец,Симентальская,2020-08-04,9259,2998,,4,"0,05","1,27",5,92,72
0117,Самка,Швицкая,2019-11-19,0199,2976,,3,"0,17","1,43",6,82,80
0118,Самка,Симентальская,2021-07-17,6096,4176,"23,90384445",3,"0,17",,10,95,80
0119,Самка,Айрширская,2020-09-05,9284,7442,"25,22607681",3,"0,09",,6,,72
0120,Самка,Симентальская,2021-12-21,0650,9723,"20,88243468",3,"0,17",,6,80,90
0121,Самец,Айрширская,2018-09-04,2841,6359,"32,20478241",3,"0,17","1,47",10,,83
0122,Самка,Голштинская,2020-10-27,5599,8032,,4,"0,11","1,13",5,88,85
0123,Самец,Симентальская,2020-04-02,7920,4592,,4,"0,06",,10,,92
0124,Самка,Голштинская,2022-05-13,5123,1360,,4,"0,12","1,47",8,91,72
0125,Самец,Герефорд,2020-01-27,1488,4401,,4,"0,11",,5,80,73
0126,Самец,Айрширская,2021-11-11,1848,6191,,4,"0,08","1,28",9,91,81
0127,Самец,Голштинская,2020-02-24,2167,2059,"24,83636742",4,"0,2","1,09",10,,82
0128,Самка,Голштинская,2019-06-12,7383,0691,,4,"0,09","1,32",7,78,74
0129,Самка,Айрширская,2019-02-19,9398,7648,"31,54841143",2,"0,14","1,39",10,,80
0130,Самка,Голштинская,2022-08-19,5990,9926,"32,45451538",4,"0,09","1,33",6,,80
0131,Самка,Герефорд,2021-09-06,5966,3152,,4,"0,12",,7,,90
0132,Самка,Голштинская,2019-10-10,6920,6948,"30,3124906",4,"0,18","1,29",5,95,88
0133,Самец,Швицкая,2021-12-02,5010,8591,,4,"0,08",,8,86,78
0134,Самка,Айрширская,2020-01-06,4260,2836,,3,"0,19","0,85",8,85,85
0135,Самка,Голштинская,2022-10-15,2868,0581,,4,"0,05","0,89",9,82,92
0136,Самка,Голштинская,2018-08-27,1665,0428,,3,"0,19","1,39",8,,81
0137,Самец,Герефорд,2019-12-02,8937,1790,,4,"0,11","0,9",9,,92
0138,Самка,Швицкая,2020-06-07,7673,0429,"33,91509367",4,"0,17","1,33",7,89,92
0139,Самец,Голштинская,2021-08-22,7764,4036,,4,"0,05",,9,77,84
0140,Самка,Швицкая,2023-11-13,7774,6850,"36,25214337",4,"0,13","1,31",7,81,93
0141,Самка,Голштинская,2022-06-22,9990,2441,,4,"0,09","1,22",8,,81
0142,Самец,Симентальская,2018-03-09,5308,8912,,2,"0,02",,10,,88
0143,Самец,Айрширская,2023-08-17,2644,8019,,3,"0,08","0,95",9,94,77
0144,Самка,Швицкая,2020-01-06,8428,4337,"30,54579981",3,"0,13",,7,84,79
0145,Самец,Голштинская,2020-04-19,3592,5026,"37,14252891",3,"0,2",,8,,81
0146,Самец,Айрширская,2022-05-26,5977,2367,"35,9297729",4,"0,09","0,85",6,,95
0147,Самка,Голштинская,2020-08-19,5348,0218,,4,"0,19","0,92",6,85,73
0148,Самка,Айрширская,2022-06-19,2532,0816,"31,22576485",3,"0,16","1,06",10,79,75
0149,Самец,Швицкая,2018-09-11,1510,8249,,4,"0,15",,8,77,76
0150,Самка,Айрширская,2021-10-19,3532,6271,,4,"0,02","1,22",5,85,70
0151,Самец,Голштинская,2019-01-18,5698,2344,"37,59074347",4,"0,07","1,46",5,,77
0152,Самка,Швицкая,2022-07-17,0533,5581,"27,91309472",4,"0,03",,7,86,95
0153,Самец,Швицкая,2019-02-11,7834,6385,,3,"0,06",,5,80,91
0154,Самка,Швицкая,2023-03-12,1488,0886,"23,51136618",4,"0,18","1,24",9,,74
0155,Самец,Герефорд,2018-06-19,6947,4575,"25,41679257",3,"0,11",,8,77,91
0156,Самец,Швицкая,2023-10-01,6559,7734,"25,75549002",2,"0,03",,7,95,95
0157,Самка,Голштинская,2021-03-17,6717,9381,"29,36158701",4,"0,13","1,27",5,,92
0158,Самец,Айрширская,2022-07-13,2561,7635,,2,"0,03",,10,83,95
0159,Самка,Голштинская,2020-02-26,6088,9437,"38,3543913",3,"0,11",,9,76,92
0160,Самец,Айрширская,2018-11-15,7320,6335,"31,40354174",4,"0,05","1,11",7,,76
0161,Самец,Симентальская,2021-10-22,1803,6495,,4,"0,18","1,49",6,,73
0162,Самка,Симентальская,2021-04-09,2162,2475,,4,"0,19",,6,79,82
0163,Самец,Швицкая,2020-01-11,5802,7201,,2,"0,07",,10,,86
0164,Самец,Герефорд,2022-09-18,3044,8389,,2,"0,02",,7,,88
0165,Самка,Швицкая,2019-05-24,8092,2449,,4,"0,04","1,36",8,,79
0166,Самка,Симентальская,2023-09-05,9499,9216,,3,"0,05",,5,91,86
0167,Самка,Айрширская,2022-11-11,4234,3739,,4,"0,15",,5,,86
0168,Самка,Симентальская,2019-11-23,4368,8836,"38,32140683",5,"0,03",,9,,94
0169,Самка,Швицкая,2019-10-26,9378,1281,"24,22426759",4,"0,05",,8,,85
0170,Самец,Айрширская,2023-07-15,1304,0133,,4,"0,17",,6,80,77
0171,Самец,Швицкая,2019-10-25,9593,8606,"23,46979678",4,"0,13","1,25",7,95,76
0172,Самка,Симентальская,2022-10-21,0681,3432,,4,"0,14","1,15",6,,93
0173,Самец,Герефорд,2019-04-18,2913,5232,"32,80027982",5,"0,12",,6,,76
0174,Самец,Швицкая,2020-08-18,2666,9732,"38,18881594",4,"0,12",,10,,88
0175,Самец,Швицкая,2022-10-14,8348,3050,"25,45631269",5,"0,14",,7,85,87
0176,Самец,Айрширская,2020-05-14,6881,7630,"21,350923",4,"0,02","0,85",9,,80
0177,Самец,Симентальская,2022-06-22,0923,6090,"27,97916542",4,"0,07","1,12",8,,73
0178,Самец,Швицкая,2023-08-15,0891,7840,"32,89413089",4,"0,17",,10,,73
0179,Самец,Айрширская,2023-08-10,6546,0377,"25,12660098",4,"0,07",,9,95,72
0180,Самка,Герефорд,2018-09-21,6417,0940,"26,4288719",4,"0,08","0,84",5,87,88
0181,Самка,Симентальская,2019-02-16,0227,7388,"24,10642812",3,"0,04",,9,79,92
0182,Самка,Швицкая,2018-11-23,4674,2564,,3,"0,08",,9,84,83
0183,Самец,Голштинская,2018-07-16,4047,4815,,5,"0,04",,7,79,81
0184,Самка,Айрширская,2019-12-12,7067,3192,"38,0689728",3,"0,17",,5,85,88
0185,Самка,Швицкая,2023-08-23,6332,2320,"38,43059833",4,"0,1",,6,94,93
0186,Самка,Симентальская,2021-05-13,4624,3993,,4,"0,05",,10,,90
0187,Самец,Голштинская,2023-12-09,4954,5183,"27,45464896",5,"0,15",,10,,94
0188,Самка,Симентальская,2020-02-22,4764,0193,,4,"0,14",,7,,74
0189,Самец,Симентальская,2020-12-16,7211,6555,,2,"0,11",,8,89,81
0190,Самец,Швицкая,2019-11-21,3606,7321,"35,7382107",4,"0,03",,7,87,76
0191,Самка,Швицкая,2023-11-27,9292,9849,,2,"0,16","1,45",10,,76
0192,Самка,Симентальская,2018-02-25,0335,7084,"33,40312544",4,"0,04","1,08",7,90,89
0193,Самец,Айрширская,2021-05-24,0235,6023,"24,85675295",3,"0,02","1,06",8,,85
0194,Самец,Швицкая,2023-09-02,4660,0267,"26,43345923",4,"0,06",,7,,88
0195,Самка,Герефорд,2020-04-19,2169,9963,"29,88218412",2,"0,15","1,46",7,,93
0196,Самец,Симентальская,2020-04-27,5954,1399,,4,"0,15","1,07",8,78,95
0197,Самец,Герефорд,2018-05-11,9946,3697,,3,"0,06","1,48",6,,72
0198,Самец,Герефорд,2023-10-14,0672,3938,,4,"0,02",,7,95,88
0199,Самец,Симентальская,2022-12-12,5927,3366,"38,54503514",4,"0,04",,8,95,88
0200,Самка,Герефорд,2021-07-11,3402,0037,,4,"0,16",,5,85,72
0201,Самец,Симентальская,2018-06-25,0381,0526,"36,47954169",5,"0,11","1,28",7,,95
0202,Самец,Швицкая,2022-11-10,3467,4990,"29,23388636",4,"0,19",,8,,71
0203,Самец,Швицкая,2020-02-28,9984,9415,,4,"0,07",,10,75,81
0204,Самец,Айрширская,2019-12-28,7513,6704,"38,96334298",3,"0,1","0,87",10,79,81
0205,Самец,Голштинская,2019-07-07,6228,3019,"23,83829401",4,"0,18","1,23",9,,93
0206,Самка,Айрширская,2021-08-15,2238,7511,"28,30021015",4,"0,09","1,16",5,,93
0207,Самка,Голштинская,2019-06-14,8760,2093,"20,32181612",4,"0,09","1,14",10,,86
0208,Самец,Симентальская,2019-01-12,7632,1962,"32,05696996",4,"0,12",,6,92,86
0209,Самец,Голштинская,2022-05-07,5416,8553,,4,"0,13",,7,86,73
0210,Самец,Швицкая,2018-10-27,7988,3921,,3,"0,13",,8,,85
0211,Самка,Швицкая,2019-07-04,4470,7835,,3,"0,19","0,93",5,86,81
0212,Самка,Герефорд,2022-05-19,9461,9337,,4,"0,06","0,95",6,80,71
0213,Самец,Швицкая,2023-05-24,9822,0760,"33,5280498",4,"0,16",,7,,83
0214,Самец,Голштинская,2019-08-18,3112,4425,,4,"0,18","0,9",10,82,74
0215,Самец,Герефорд,2021-09-13,7564,9442,"29,22041193",4,"0,04",,8,78,76
0216,Самка,Швицкая,2020-08-21,7188,3491,,3,"0,02",,9,,76
0217,Самка,Швицкая,2018-11-25,6523,4399,"35,03029171",4,"0,15",,7,95,92
0218,Самец,Швицкая,2021-04-16,8862,5464,,3,"0,08","1,04",10,78,80
0219,Самка,Симентальская,2018-12-25,0687,9958,"24,56299083",4,"0,07",,10,,85
0220,Самец,Герефорд,2019-01-20,1747,8221,,4,"0,18",,5,76,81
0221,Самка,Айрширская,2018-07-11,0385,0191,"36,19468919",3,"0,04",,5,,91
0222,Самец,Симентальская,2022-04-11,7208,5158,,3,"0,04",,6,91,84
0223,Самка,Швицкая,2020-05-27,6932,3457,,2,"0,01","1,04",6,,81
0224,Самец,Герефорд,2019-02-21,8322,6106,,5,"0,08","1,34",5,,84
0225,Самка,Швицкая,2022-09-05,8525,3227,,4,"0,18","1,06",9,88,74
0226,Самка,Симентальская,2021-12-03,1009,4350,"36,48605875",2,"0,04",,5,,80
0227,Самец,Айрширская,2020-04-20,0021,8052,"29,6623735",3,"0,05","1,43",8,,74
0228,Самец,Симентальская,2021-01-06,0965,3126,,2,"0,2",,6,88,89
0229,Самка,Симентальская,2022-02-23,7549,4857,"25,4959138",4,"0,03",,10,,82
0230,Самец,Голштинская,2022-01-09,5334,6166,"28,0720596",3,"0,07",,7,86,80
0231,Самец,Швицкая,2020-10-08,9011,6244,,4,"0,03",,6,,91
0232,Самец,Голштинская,2022-06-01,6288,8488,"23,989348",3,"0,05","0,86",5,81,70
0233,Самка,Симентальская,2023-02-20,4873,7700,"36,2942808",4,"0,02",,6,,70
0234,Самец,Голштинская,2018-10-23,9248,9610,"27,40422106",2,"0,06",,6,95,85
0235,Самец,Симентальская,2022-02-09,6047,1843,"23,13707391",4,"0,07",,8,,84
0236,Самец,Симентальская,2023-08-06,7304,5473,"28,87498852",4,"0,05",,10,,76
0237,Самец,Герефорд,2023-04-10,7921,6807,"34,3739678",4,"0,19","1,1",8,84,70
0238,Самец,Айрширская,2021-08-16,8360,9463,"29,19066607",4,"0,08",,10,95,75
0239,Самец,Симентальская,2019-06-21,7950,3094,"26,82528079",4,"0,14",,6,,94
0240,Самец,Швицкая,2023-04-10,0975,4864,,4,"0,12","1,37",6,,87
0241,Самец,Герефорд,2023-01-06,5701,7972,,3,"0,01",,10,,84
0242,Самка,Симентальская,2023-02-17,8935,5085,"32,61334726",4,"0,13","1,28",10,,82
0243,Самец,Симентальская,2019-01-11,7468,6562,,2,"0,15","0,95",8,79,82
0244,Самка,Симентальская,2021-02-16,7330,3410,"25,66277119",3,"0,18","1,02",8,79,72
0245,Самец,Швицкая,2023-11-21,0115,6263,,4,"0,16","1,43",10,94,83
0246,Самка,Голштинская,2021-11-01,3063,2870,"37,00639416",3,"0,07",,10,,86
0247,Самка,Симентальская,2020-05-07,8802,3433,"36,31357077",3,"0,09","1,32",6,,88
0248,Самец,Симентальская,2019-09-25,2288,0335,,4,"0,15",,8,95,81
0249,Самка,Голштинская,2021-06-04,0468,8846,"33,98723833",4,"0,08",,5,79,90
0250,Самка,Симентальская,2022-12-17,0906,7303,,5,"0,17",,10,,70
0251,Самка,Айрширская,2020-12-14,4825,1679,"34,57565188",4,"0,03",,6,,70
0252,Самец,Голштинская,2020-09-06,5407,2706,"36,20455594",4,"0,17","0,91",10,92,88
0253,Самец,Герефорд,2023-09-27,2651,2748,"21,10185969",3,"0,19",,6,78,87
0254,Самка,Голштинская,2018-07-22,3240,7858,,4,"0,12",,5,,74
0255,Самка,Симентальская,2020-12-14,8046,5921,,5,"0,13",,9,82,73
0256,Самка,Симентальская,2018-04-28,7928,9362,,4,"0,05","1,3",10,,85
0257,Самка,Швицкая,2023-06-09,3428,3045,,5,"0,04","1,35",10,78,80
0258,Самец,Айрширская,2023-03-27,7837,8654,"23,26548281",4,"0,09","0,87",7,,81
0259,Самка,Швицкая,2020-05-21,3024,5992,"37,81330069",4,"0,11",,6,77,73
0260,Самка,Симентальская,2019-11-18,0808,6974,"36,30090002",2,"0,14",,5,90,92
0261,Самец,Симентальская,2021-01-04,2748,9564,"39,46250542",4,"0,18",,5,86,82
0262,Самка,Айрширская,2020-12-27,9974,7186,"21,91566635",4,"0,09","1,08",7,93,82
0263,Самец,Швицкая,2020-07-17,9811,2106,,4,"0,08","0,83",6,,94
0264,Самец,Голштинская,2020-08-03,2898,9611,"28,59280944",4,"0,01","1,3",5,89,94
0265,Самка,Симентальская,2019-09-27,0509,2693,,3,"0,13","0,91",9,93,80
0266,Самец,Голштинская,2023-02-12,8710,3729,"34,79310382",4,"0,08","1,49",8,,85
0267,Самка,Швицкая,2021-12-05,5853,7955,,4,"0,09",,7,,75
0268,Самка,Симентальская,2020-05-11,6575,0736,"34,89451885",4,"0,15",,6,,89
0269,Самец,Швицкая,2022-09-17,6563,5922,,4,"0,01","0,9",9,,90
0270,Самец,Герефорд,2020-10-20,9534,5852,,3,"0,02",,9,78,76
0271,Самка,Швицкая,2021-01-06,0468,2103,,4,"0,05",,8,,75
0272,Самец,Голштинская,2023-08-02,3072,4365,"21,93216786",3,"0,13",,7,,73
0273,Самка,Голштинская,2023-10-10,4399,8591,"34,22022918",4,"0,07",,5,,78
0274,Самка,Голштинская,2018-01-07,8977,5715,,3,"0,03",,5,90,88
0275,Самец,Голштинская,2021-12-13,5201,7052,"32,8222454",4,"0,19",,8,87,81
0276,Самец,Айрширская,2022-05-17,1521,2160,,3,"0,08",,6,,87
0277,Самец,Симентальская,2019-07-15,9053,5516,"20,06894904",4,"0,13",,9,75,81
0278,Самка,Голштинская,2018-11-12,0570,7051,"21,93411895",3,"0,09","1,2",6,,91
0279,Самка,Швицкая,2018-07-04,4526,5683,,4,"0,05",,9,,81
0280,Самец,Герефорд,2023-03-17,0556,7685,,3,"0,02","1,2",7,,83
0281,Самка,Голштинская,2020-03-09,8330,2523,"25,35654514",5,"0,11","1,03",5,94,75
0282,Самец,Швицкая,2022-10-22,5102,1073,"39,88274856",2,"0,12",,7,,80
0283,Самец,Швицкая,2021-05-14,2366,2744,"27,42722013",4,"0,17",,5,88,91
0284,Самка,Швицкая,2020-05-19,6977,4563,"30,0964272",3,"0,09",,9,82,72
0285,Самка,Симентальская,2022-10-16,3581,9911,,4,"0,03",,10,,87
0286,Самец,Симентальская,2023-09-26,4666,1777,"24,58025353",5,"0,07","0,89",10,75,82
0287,Самка,Голштинская,2021-03-15,9063,3306,"22,71465647",3,"0,15",,7,,88
0288,Самка,Герефорд,2022-03-06,2043,9979,"34,09342992",4,"0,11",,6,,95
0289,Самец,Голштинская,2018-07-24,5268,3782,,3,"0,04","0,99",9,90,71
0290,Самец,Швицкая,2023-07-05,9573,0229,,4,"0,11","0,82",8,,90
0291,Самка,Швицкая,2020-04-14,4267,0376,,4,"0,14","0,99",6,95,80
0292,Самка,Швицкая,2019-12-15,2947,0756,"27,76827992",3,"0,07",,9,84,90
0293,Самка,Айрширская,2022-03-15,0150,5582,"33,32978925",5,"0,16","0,92",8,,81
0294,Самец,Герефорд,2022-05-11,1452,5206,"23,03059728",4,"0,2",,7,82,95
0295,Самец,Швицкая,2023-04-17,8893,1410,,3,"0,11",,8,,74
0296,Самка,Швицкая,2019-05-19,8222,1634,,4,"0,04","1,13",6,88,74
0297,Самка,Симентальская,2022-12-24,3307,1680,"28,62208577",4,"0,14",,5,,94
0298,Самец,Голштинская,2018-08-19,1457,6186,,4,"0,13",,8,81,94
0299,Самка,Герефорд,2018-06-19,2109,5553,,4,"0,13",,9,,80
0300,Самец,Симентальская,2022-08-27,5699,3800,"23,77461173",3,"0,18","1,39",6,76,70
0301,Самка,Айрширская,2023-05-25,5002,2561,,3,"0,02","1,11",5,87,88
0302,Самец,Голштинская,2018-09-06,7352,9777,"31,98912834",4,"0,18","1,43",10,77,82
0303,Самка,Герефорд,2019-01-12,1015,9744,"24,51532814",4,"0,06","1,2",5,,79
0304,Самец,Герефорд,2020-09-13,9539,7275,,3,"0,04",,10,,70
